No.,공연명,카테고리,장르,시작일,종료일,공연시설,공연장,객석수(석),지역,제작,기획,주최,주관
161,Stained Glass 2: Beethoven Op.11,서양음악(클래식),CHAMBER,2026.01.17,2026.01.17,도곡2문화센터,오유아트홀,138,서울,앙상블비플랫,,앙상블비플랫,한국예술인복지재단
162,이혜인 & 이기상 피아노 조인트 리사이틀: La Musique de paris en Janvier,서양음악(클래식),RECITAL,2026.01.21,2026.01.21,아트홀제이,아트홀제이,23,서울,,,,
163,RE: BLU,대중음악,BALLAD,2026.02.01,2026.02.01,클럽 프리버드,클럽 프리버드,0,서울,더블엑스엔터테인먼트,,더블엑스엔터테인먼트,더블엑스엔터테인먼트
164,최현아 피아노 독주회: Portrait of Night [서울],서양음악(클래식),RECITAL,2026.01.23,2026.01.23,반포심산아트홀,반포심산아트홀,405,서울,클피랩,,클피랩,클피랩
165,OFF THE RECORD FuturePeerClub x Healing Boys x Hard Rock Band,대중음악,ROCK,2026.01.30,2026.01.30,우무지,우무지,100,서울,(사) 코드(우무지),,(사) 코드(우무지),(사) 코드(우무지)
166,PROJECT E-ZER 시즌 2: ESSENTIAL 해빙: 얼음이 녹아 풀림,연극,DRAMA,2026.01.21,2026.01.24,오디너리 랩 스튜디오,오디너리 랩 스튜디오 (B1) ,0,서울,창작집단 담따(DAMDA),창작집단 담따(DAMDA),창작집단 담따(DAMDA),
167,빨간풍차,연극,DRAMA,2026.01.23,2026.02.01,스튜디오D,스튜디오D,20,서울,극단 대학로극장,극단 대학로극장,극단 대학로극장,극단 대학로극장
168,피아니스트 김보라 & 노민영 듀오 연주회: 앙상블의 미학 Ⅰ. Favourites,서양음악(클래식),CHAMBER,2026.01.24,2026.01.24,일신홀,일신홀,189,서울,예인예술기획,,예인예술기획,
169,"idol wave, MIDNIGHT SONATA: 양산형과 지뢰계 (1월)",대중음악,BALLAD,2026.01.25,2026.01.25,옥타바리움 라이브홀,공연장(B1),70,서울,,,마츠나미(matsunami),
170,"크라잉넛 30주년 기획 전시 갤러리 라이브, 김인수 (크라잉넛) (11.17)",대중음악,BALLAD,2025.11.17,2025.11.17,KT&G 상상마당 라이브홀 [마포],KT&G 상상마당 홍대갤러리,0,서울,,,KT&G 상상마당,KT&G 상상마당
171,양산시 승격 30주년 기념 신년음악회 [양산],서양음악(클래식),CHAMBER,2026.01.23,2026.01.23,양산문화예술회관,대공연장,796,경남,,,(재) 양산문화재단,(재) 양산문화재단
172,KAI B-day PARTY: 곰일파티,대중음악,BALLAD,2026.01.14,2026.01.14,예스24 라이브홀 (구. 악스코리아),예스24 라이브홀 (구. 악스코리아),"1,051",서울,(주)에스엠엔터테인먼트 (SM ENTERTAINMENT),,(주)에스엠엔터테인먼트 (SM ENTERTAINMENT),플러드 프로덕션(Flood Production)
173,정명훈 & 드레스덴 슈타츠카펠레 [서울 서초] (02.01),서양음악(클래식),CHAMBER,2026.02.01,2026.02.01,예술의전당 [서울],콘서트홀,"2,505",서울,(주)빈체로,,"중앙일보(주), (주)빈체로",
174,Antares The First,대중음악,BALLAD,2026.01.10,2026.01.25,K-POP STAGE (구. 윤형빈소극장 [홍대] ),K-POP STAGE (구. 윤형빈소극장 [홍대] ) ,147,서울,K-POP STAGE(케이팝 스테이지),,K-POP STAGE(케이팝 스테이지),
175,코리안리 신년음악회,서양음악(클래식),CHAMBER,2026.01.08,2026.01.08,롯데콘서트홀,롯데콘서트홀,"2,036",서울,,,,
176,"선데이콘서트, 해설이 있는 렉처 콘서트: 아이작 첼로 콰르텟 [인천]",서양음악(클래식),CHAMBER,2026.01.18,2026.01.18,엘림아트센터,엘림홀,298,인천,엘림아트센터,,엘림아트센터,엘림아트센터
177,이동현 단독 콘서트: 모여라!,대중음악,BALLAD,2026.01.25,2026.01.25,구름아래소극장,구름아래소극장,200,서울,스타트어뉴 레코드,,스타트어뉴 레코드,스타트어뉴 레코드
178,카운터테너 정민호: 고음악살롱 Renaissance & Baroque Music,서양음악(클래식),VOCAL,2026.01.20,2026.01.20,아트센터 림,아트홀,120,서울,현대문화기획,,(재) 도은,아트센터 림(Artcenter LIM)
179,에녹 새해맞이 디너쇼 [대구],대중음악,TROT,2026.01.21,2026.01.21,호텔 인터불고 대구,컨벤션홀,"1,500",대구,(주)스프링이엔티,EMK엔터테인먼트,"EMK엔터테인먼트, (주)스프링이엔티",(사) 한국장애인새마을운동연합회
180,화가났어 [음성],연극,DRAMA,2026.02.01,2026.02.01,음성생활문화예술공간 소극장하다 ,공연장,0,충북,교육극단 안,,교육극단 안,교육극단 안
181,김승주 단독 콘서트: HINT Ⅲ,대중음악,BALLAD,2026.01.24,2026.01.25,한국콘텐츠진흥원 CKL스테이지,한국콘텐츠진흥원 CKL스테이지,190,서울,주식회사 원더로크,,"테잎스(Tapes), 주식회사 원더로크",주식회사 원더로크
182,"아시테지 K-PANY 창작꿈밭 돋움단계 쇼케이스: 창작의 돋움전, 여기에서 저기로 이동하는 11가지 방법",연극,DRAMA,2026.01.14,2026.01.15,아르코 꿈밭극장,텃밭스튜디오(3F),30,서울,(사)국제아동청소년연극협회 한국본부(아시테지),,(사)국제아동청소년연극협회 한국본부(아시테지),(사)국제아동청소년연극협회 한국본부(아시테지)
183,"아시테지 K-PANY 창작꿈밭 돋움단계 쇼케이스: 창작의 돋움전, 흔들리는 집",연극,DRAMA,2026.01.10,2026.01.11,아르코 꿈밭극장,아르코꿈밭극장,169,서울,(사)국제아동청소년연극협회 한국본부(아시테지),,(사)국제아동청소년연극협회 한국본부(아시테지),(사)국제아동청소년연극협회 한국본부(아시테지)
184,"극아타의 극단적인 실험실 Vol.2, 雷虎: 번개같은 공연",대중음악,BALLAD,2026.01.18,2026.01.18,연남스페이스,연남스페이스,280,서울,극동아시아타이거즈(Far East Asian Tigers),,극동아시아타이거즈(Far East Asian Tigers),극동아시아타이거즈(Far East Asian Tigers)
185,"아시테지 K-PANY 창작꿈밭 돋움단계 쇼케이스: 창작의 돋움전, 사람을 다독이는 뉴-홈을 짓는 가까운 미래 건축공학자들의 고민과 기술시연",연극,DRAMA,2026.01.10,2026.01.11,아르코 꿈밭극장,아르코꿈밭극장,169,서울,(사)국제아동청소년연극협회 한국본부(아시테지),,(사)국제아동청소년연극협회 한국본부(아시테지),(사)국제아동청소년연극협회 한국본부(아시테지)
186,월간연주자 피아니스트 원아영 (1월),서양음악(클래식),CHAMBER,2026.01.17,2026.01.17,갤러리 디 아르테 청담,공연장 (B1) ,0,서울,ARTE WITH (아르테위드),,ARTE WITH (아르테위드),
187,"살롱클래식, 트리오 화온의 질문해도 되는 음악회",서양음악(클래식),CHAMBER,2026.01.22,2026.01.22,라율아트홀,라율아트홀,60,서울,삼윤(라율아트홀),,삼윤(라율아트홀),삼윤(라율아트홀)
188,"월미도, 1950 [인천]",연극,DRAMA,2026.01.23,2026.01.25,떼아뜨르 다락 소극장,떼아뜨르 다락 소극장,90,인천,떼아뜨르 다락,극단 토끼가사는달,떼아뜨르 다락,떼아뜨르 다락
189,"아시테지 K-PANY 창작꿈밭 돋움단계 쇼케이스: 창작의 돋움전, 달구리 국밥집",연극,DRAMA,2026.01.14,2026.01.15,아르코 꿈밭극장,아르코꿈밭극장,169,서울,(사)국제아동청소년연극협회 한국본부(아시테지),사해충 스튜디오,(사)국제아동청소년연극협회 한국본부(아시테지),(사)국제아동청소년연극협회 한국본부(아시테지)
190,제2회 드림단막극장: 손해배상 [대전],연극,DRAMA,2026.01.16,2026.01.16,드림아트홀 [대전],드림아트홀 [대전] ,77,대전,창작집단 위드유,창작집단 위드유,창작집단 위드유,
191,김이안 피아노살롱,서양음악(클래식),CHAMBER,2026.01.17,2026.02.21,서울숲 스튜디오301,서울숲 스튜디오301,0,서울,,,스튜디오301,
192,"만약, 오늘 밤 이 세상에서 동물이 사라진다면",대중음악,BALLAD,2026.01.13,2026.01.13,세티 라이브홀 (SETI LIVE HALL),세티 라이브홀 (SETI LIVE HALL) ,0,서울,,,"세티 라이브홀(SETi LIVE HALL), (주) 수소엔터테인먼트 (SOOSO Ent.)",
193,벽 [순창],연극,DRAMA,2026.01.24,2026.01.25,공유공간 이음줄,공유공간 이음줄,20,전북,,마밀라삐나따빠이,마밀라삐나따빠이,마밀라삐나따빠이
